,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Ahipara,NZ,2021-07-26 01:59:51,-35.1667,173.1667,59.11,82,66,13.73
60,Lagoa,PT,2021-07-26 02:00:37,39.05,-27.9833,68.85,84,9,11.65
61,Fairmont,US,2021-07-26 02:04:32,39.4851,-80.1426,76.37,87,12,3.13
62,Mount Isa,AU,2021-07-26 01:55:24,-20.7333,139.5,71.37,21,68,13.8
63,Saskylakh,RU,2021-07-26 01:54:00,71.9167,114.0833,59.65,56,89,16.37
64,Qaanaaq,GL,2021-07-26 02:04:33,77.484,-69.3632,38.91,69,100,1.36
65,Monster,NL,2021-07-26 02:04:33,52.0258,4.175,64.38,95,100,3.44
66,Ekhabi,RU,2021-07-26 02:00:28,53.5102,142.9671,78.31,66,100,8.79
67,Ilulissat,GL,2021-07-26 01:59:26,69.2167,-51.1,43.9,63,100,7.52
68,Bredasdorp,ZA,2021-07-26 01:58:25,-34.5322,20.0403,51.28,66,100,5.75
69,Tarancon,ES,2021-07-26 02:04:34,40.0085,-3.0073,68.9,39,31,7.65
70,Singleton,AU,2021-07-26 02:04:34,-32.5667,151.1833,67.44,46,0,21.0
71,Hasaki,JP,2021-07-26 01:54:21,35.7333,140.8333,82.29,65,99,20.47
72,Elizabeth City,US,2021-07-26 02:01:18,36.2946,-76.2511,82.02,82,53,1.01
73,Cherskiy,RU,2021-07-26 01:58:36,68.75,161.3,54.93,46,0,13.35
74,Xixiang,CN,2021-07-26 02:04:35,35.1628,112.865,85.6,69,65,3.44
75,Portland,US,2021-07-26 01:58:59,45.5234,-122.6762,90.37,41,0,3.0
76,Sao Goncalo Do Amarante,BR,2021-07-26 02:04:01,-3.6072,-38.9683,80.13,87,0,7.36
77,Kotelniki,RU,2021-07-26 02:04:36,55.6355,37.8445,60.94,58,45,2.89
78,Teknaf,BD,2021-07-26 02:04:36,20.8624,92.3058,77.31,98,100,4.25
79,Hilo,US,2021-07-26 01:58:55,19.7297,-155.09,76.24,93,100,5.99
80,Saint-Philippe,RE,2021-07-26 01:59:16,-21.3585,55.7679,65.75,70,58,11.5
81,Sigli,ID,2021-07-26 02:04:37,5.3848,95.9609,82.72,68,100,3.0
82,Cayenne,GF,2021-07-26 02:04:37,4.9333,-52.3333,77.09,91,90,0.0
83,Saint-Louis,SN,2021-07-26 02:04:37,16.3333,-15.0,80.62,65,3,14.58
84,Khani,GE,2021-07-26 02:01:24,41.9563,42.9566,58.57,89,41,3.02
85,Adrar,MR,2021-07-26 01:58:38,20.5022,-10.0711,88.39,20,0,8.95
86,Nagato,JP,2021-07-26 02:04:38,34.3833,131.2,81.19,63,0,5.73
87,Necochea,AR,2021-07-26 01:59:02,-38.5473,-58.7368,45.01,87,5,10.83
88,Hithadhoo,MV,2021-07-26 01:58:51,-0.6,73.0833,80.98,75,100,5.84
89,Tessalit,ML,2021-07-26 02:04:38,20.1986,1.0114,91.78,32,88,8.55
90,Belyy Yar,RU,2021-07-26 02:04:39,53.6039,91.3903,69.69,83,0,4.47
91,Dekar,BW,2021-07-26 02:04:39,-21.5333,21.9333,40.86,69,5,8.68
92,Beringovskiy,RU,2021-07-26 02:04:40,63.05,179.3167,50.09,92,99,6.22
93,Biggar,GB,2021-07-26 02:04:40,55.6167,-3.5167,59.7,93,29,2.24
94,Alcaniz,ES,2021-07-26 02:04:40,41.05,-0.1333,68.09,60,91,10.33
95,Isangel,VU,2021-07-26 01:58:40,-19.55,169.2667,75.33,75,98,16.37
96,Kahului,US,2021-07-26 01:59:01,20.8947,-156.47,83.46,92,34,8.01
97,Natchitoches,US,2021-07-26 02:04:41,31.7668,-93.1335,83.17,83,1,0.0
98,Buchanan,LR,2021-07-26 01:59:53,5.8808,-10.0467,75.79,81,95,5.97
99,Altamira,BR,2021-07-26 01:59:57,-3.2033,-52.2064,73.45,63,12,2.39
100,Lebu,CL,2021-07-26 01:59:05,-37.6167,-73.65,48.42,82,26,17.6
101,Bonthe,SL,2021-07-26 02:00:10,7.5264,-12.505,75.76,86,98,5.1
102,Tabou,CI,2021-07-26 02:04:42,4.423,-7.3528,76.08,75,39,7.34
103,Geraldton,AU,2021-07-26 01:58:46,-28.7667,114.6,58.12,82,16,14.97
104,Amuntai,ID,2021-07-26 02:04:42,-2.4177,115.2494,85.1,54,2,0.43
105,Wanaka,NZ,2021-07-26 02:04:42,-44.7,169.15,43.61,95,100,4.52
106,Katsuura,JP,2021-07-26 01:58:24,35.1333,140.3,84.31,64,57,20.58
107,Flinders,AU,2021-07-26 01:59:02,-34.5833,150.8552,64.38,57,60,5.01
108,Qasigiannguit,GL,2021-07-26 02:04:43,68.8193,-51.1922,50.25,62,100,5.86
109,College,US,2021-07-26 01:59:54,64.8569,-147.8028,72.0,55,99,1.01
110,Sao Miguel Do Araguaia,BR,2021-07-26 02:04:43,-13.275,-50.1628,73.38,41,33,3.69
111,Kaitangata,NZ,2021-07-26 01:58:53,-46.2817,169.8464,51.93,77,100,4.68
112,Kiruna,SE,2021-07-26 02:04:44,67.8557,20.2251,41.92,100,5,3.44
113,Krasnouralsk,RU,2021-07-26 02:04:44,58.3638,60.0407,53.11,65,100,6.62
114,Severo-Kurilsk,RU,2021-07-26 01:59:23,50.6789,156.125,59.34,88,74,3.49
115,Asau,RO,2021-07-26 02:00:17,46.4333,26.4,64.76,82,4,3.96
116,Warrington,GB,2021-07-26 02:00:43,53.3925,-2.5802,62.87,89,75,1.99
117,Pangoa,PE,2021-07-26 02:04:45,-12.1167,-73.0,70.16,76,11,2.66
118,Souillac,MU,2021-07-26 01:54:27,-20.5167,57.5167,70.18,64,75,10.36
119,Nelson Bay,AU,2021-07-26 02:01:17,-32.7167,152.15,65.75,52,0,4.0
120,Aligudarz,IR,2021-07-26 02:04:46,33.4006,49.6949,72.39,21,5,6.87
121,Chokurdakh,RU,2021-07-26 01:58:56,70.6333,147.9167,54.23,43,39,8.72
122,Vila,PT,2021-07-26 02:01:23,42.0304,-8.1588,54.73,91,0,3.74
123,Avarua,CK,2021-07-26 01:58:34,-21.2078,-159.775,78.85,73,20,10.36
124,Andilamena,MG,2021-07-26 02:04:46,-17.0167,48.5833,55.76,88,99,10.63
125,Faanui,PF,2021-07-26 01:58:37,-16.4833,-151.75,78.06,67,48,8.75
126,Airai,TL,2021-07-26 02:00:17,-8.9266,125.4092,74.84,26,83,3.38
127,Kalispell,US,2021-07-26 02:04:47,48.1958,-114.3129,89.69,22,1,5.99
128,Cidreira,BR,2021-07-26 01:59:01,-30.1811,-50.2056,67.53,70,83,5.39
129,Castro,BR,2021-07-26 01:58:41,-24.7911,-50.0119,54.99,61,5,3.51
130,Port Elizabeth,ZA,2021-07-26 01:59:24,-33.918,25.5701,43.09,81,0,4.61
131,Caravelas,BR,2021-07-26 01:59:26,-17.7125,-39.2481,68.83,84,2,5.61
132,Clyde River,CA,2021-07-26 01:56:41,70.4692,-68.5914,34.03,100,90,4.61
133,Tulum,MX,2021-07-26 02:04:48,20.2167,-87.4667,83.93,88,95,4.54
134,Moindou,NC,2021-07-26 02:04:48,-21.6924,165.677,78.75,64,93,11.14
135,Salalah,OM,2021-07-26 01:59:55,17.0151,54.0924,77.04,92,100,14.14
136,Ambovombe,MG,2021-07-26 02:04:49,-25.1667,46.0833,61.07,73,9,12.93
137,Chenzhou,CN,2021-07-26 02:00:39,25.8,113.0333,85.68,74,66,4.41
138,Tanout,NE,2021-07-26 02:04:49,14.9709,8.8879,82.51,61,83,15.95
139,Porto Novo,BJ,2021-07-26 02:00:54,6.4965,2.6036,74.19,80,38,7.65
140,Kamaishi,JP,2021-07-26 01:58:26,39.2667,141.8833,83.35,67,75,11.3
141,Bubaque,GW,2021-07-26 01:59:46,11.2833,-15.8333,79.16,82,100,8.37
142,Tasiilaq,GL,2021-07-26 01:59:19,65.6145,-37.6368,34.61,84,27,4.5
143,Kavieng,PG,2021-07-26 01:53:49,-2.5744,150.7967,83.79,68,30,4.25
144,Huesca,ES,2021-07-26 02:04:50,42.1362,-0.4087,65.05,71,0,1.01
145,Muleba,TZ,2021-07-26 02:04:51,-1.8397,31.6544,66.52,53,100,14.7
146,Muisne,EC,2021-07-26 02:04:51,0.6,-80.0333,75.63,85,100,9.4
147,Fortuna,US,2021-07-26 01:58:47,40.5982,-124.1573,55.98,93,90,11.5
148,Mar Del Plata,AR,2021-07-26 02:04:51,-38.0023,-57.5575,47.12,44,99,7.0
149,Zhuanghe,CN,2021-07-26 01:59:01,39.7008,122.9911,82.13,74,82,5.84
150,Kapit,MY,2021-07-26 02:04:52,2.0167,112.9333,82.26,84,40,2.24
151,Altay,CN,2021-07-26 02:04:52,47.8667,88.1167,75.94,42,54,4.29
152,Yar-Sale,RU,2021-07-26 01:59:58,66.8333,70.8333,51.69,68,89,6.26
153,Strezhevoy,RU,2021-07-26 02:04:53,60.7333,77.5889,55.38,97,100,7.58
154,Sitka,US,2021-07-26 01:54:03,57.0531,-135.33,54.23,89,100,1.9
155,Inhambane,MZ,2021-07-26 02:04:53,-23.865,35.3833,66.27,56,87,12.48
156,Lexington,US,2021-07-26 02:00:22,37.9887,-84.4777,79.95,63,100,4.81
157,Madimba,TZ,2021-07-26 02:04:54,-10.4,40.3333,68.25,66,68,14.12
158,Praia,CV,2021-07-26 02:04:54,14.9215,-23.5087,74.86,75,98,6.96
159,Elk City,US,2021-07-26 02:00:16,35.412,-99.4043,74.08,100,90,19.57
160,Miramar,US,2021-07-26 02:03:31,25.9873,-80.2323,85.01,77,1,4.61
161,Puerto Carreno,CO,2021-07-26 02:04:55,6.189,-67.4859,78.17,83,100,2.93
162,Alofi,NU,2021-07-26 01:59:29,-19.0595,-169.9187,82.29,69,7,5.75
163,Koumac,NC,2021-07-26 02:00:22,-20.5667,164.2833,75.2,62,18,14.92
164,Tari,NG,2021-07-26 02:04:55,12.4086,4.4914,76.73,84,100,1.57
165,Ojinaga,MX,2021-07-26 02:04:55,29.5667,-104.4167,95.58,29,1,6.91
166,Farmington,US,2021-07-26 02:03:58,36.7281,-108.2187,83.1,39,1,8.05
167,Kosonsoy,UZ,2021-07-26 02:04:56,41.2561,71.5508,75.76,20,0,3.13
168,Whyalla,AU,2021-07-26 01:59:17,-33.0333,137.5833,58.89,55,23,18.41
169,Lavrentiya,RU,2021-07-26 01:55:40,65.5833,-171.0,44.58,98,100,3.04
170,Gamboma,CG,2021-07-26 02:04:57,-1.8764,15.8644,72.09,65,44,3.42
171,Vardo,NO,2021-07-26 01:58:51,70.3705,31.1107,45.9,76,65,21.41
172,Christchurch,NZ,2021-07-26 02:04:57,-43.5333,172.6333,55.99,79,100,7.0
173,Saint George,US,2021-07-26 01:54:26,37.1041,-113.5841,81.25,58,20,5.99
174,Conceicao Do Araguaia,BR,2021-07-26 02:01:17,-8.2578,-49.2647,72.25,48,14,2.91
175,Togur,RU,2021-07-26 02:04:58,58.3631,82.8265,65.93,97,100,6.91
176,Pangnirtung,CA,2021-07-26 02:01:07,66.1451,-65.7125,50.83,89,100,3.6
177,Metro,ID,2021-07-26 02:04:58,-5.1131,105.3067,77.47,74,100,1.97
178,Velikiy Ustyug,RU,2021-07-26 02:04:58,60.7644,46.3106,55.56,74,92,7.14
179,Stromness,GB,2021-07-26 02:04:59,58.965,-3.296,57.45,93,30,12.21
180,Nanakuli,US,2021-07-26 02:04:59,21.3906,-158.1547,87.75,65,90,12.66
181,Kawambwa,ZM,2021-07-26 02:04:59,-9.7915,29.0791,48.87,67,35,11.77
182,Hastings,GB,2021-07-26 02:05:00,50.8552,0.5729,64.33,99,90,7.58
183,Port Alfred,ZA,2021-07-26 01:58:21,-33.5906,26.891,59.74,31,43,11.9
184,Urucara,BR,2021-07-26 02:05:00,-2.5364,-57.76,76.08,65,30,3.22
185,Yellowknife,CA,2021-07-26 01:53:51,62.456,-114.3525,60.3,47,20,14.97
186,Ambon,ID,2021-07-26 02:05:01,-3.6954,128.1814,87.94,66,40,4.61
187,Udachnyy,RU,2021-07-26 02:01:18,66.4167,112.4,82.92,43,6,14.58
188,Namatanai,PG,2021-07-26 02:02:21,-3.6667,152.4333,82.9,72,98,1.66
189,Provideniya,RU,2021-07-26 01:59:06,64.3833,-173.3,50.11,81,90,4.47
190,Usinsk,RU,2021-07-26 02:05:02,65.9939,57.5281,45.93,84,100,8.99
191,Bafra,TR,2021-07-26 02:05:02,41.5678,35.9069,74.98,78,92,6.24
192,Goure,NE,2021-07-26 02:05:02,13.9835,10.2704,81.25,66,99,11.32
193,Carnarvon,AU,2021-07-26 02:01:16,-24.8667,113.6333,66.56,61,8,3.65
194,Mecca,SA,2021-07-26 02:05:03,21.4267,39.8261,84.61,36,33,4.21
195,Mitu,CO,2021-07-26 02:05:03,1.1983,-70.1733,69.6,99,38,0.98
196,Denia,ES,2021-07-26 02:05:03,38.8408,0.1057,78.85,88,95,1.01
197,Antofagasta,CL,2021-07-26 02:02:15,-23.65,-70.4,56.43,82,51,7.16
198,Waw,SS,2021-07-26 02:05:04,7.7029,27.9953,69.24,99,100,4.32
199,Narsaq,GL,2021-07-26 02:00:20,60.9167,-46.05,46.62,62,100,1.34
200,Tiksi,RU,2021-07-26 02:05:04,71.6872,128.8694,56.1,79,83,8.88
201,Oktyabrskiy,RU,2021-07-26 02:05:05,54.4815,53.471,54.01,59,2,2.37
202,Suicheng,CN,2021-07-26 02:03:17,33.8963,117.9331,77.47,93,100,13.11
203,Esperance,AU,2021-07-26 01:58:14,-33.8667,121.9,57.04,72,3,22.48
204,Husavik,IS,2021-07-26 02:00:41,66.0449,-17.3389,51.98,65,0,15.14
205,Chillicothe,US,2021-07-26 02:05:05,39.3331,-82.9824,80.96,100,40,3.44
206,Banswada,IN,2021-07-26 02:05:06,18.3833,77.8833,76.08,87,78,12.44
207,Qianan,CN,2021-07-26 02:05:06,44.9932,124.0581,82.31,63,100,18.54
208,Bocaiuva,BR,2021-07-26 02:05:06,-17.1078,-43.815,57.78,54,0,5.64
209,Newtonmore,GB,2021-07-26 02:05:07,57.066,-4.1192,57.04,97,26,2.57
210,Damietta,EG,2021-07-26 02:01:46,31.4165,31.8133,77.34,74,0,6.53
211,Misratah,LY,2021-07-26 02:05:07,32.3754,15.0925,79.41,72,0,9.95
212,Haines Junction,CA,2021-07-26 02:05:08,60.7522,-137.5108,61.16,48,100,4.52
213,Laguna,US,2021-07-26 01:59:51,38.421,-121.4238,101.14,31,98,4.0
214,Kadyy,RU,2021-07-26 02:05:08,57.787,43.1903,55.94,62,92,4.59
215,Boli,CN,2021-07-26 02:05:09,45.7667,130.5167,93.07,36,100,5.14
216,Dikson,RU,2021-07-26 01:58:19,73.5069,80.5464,44.71,72,37,7.67
217,Henties Bay,NA,2021-07-26 01:59:45,-22.116,14.2845,73.02,33,35,22.46
218,Poum,NC,2021-07-26 02:00:20,-20.2333,164.0167,73.18,70,25,22.15
219,Komsomolskiy,UZ,2021-07-26 02:05:10,40.4272,71.7189,83.12,32,0,11.5
220,Erenhot,CN,2021-07-26 02:05:10,43.6475,111.9767,66.87,61,87,16.84
221,New Norfolk,AU,2021-07-26 01:58:57,-42.7826,147.0587,54.9,85,100,1.01
222,Saint-Georges,GD,2021-07-26 02:03:48,12.0564,-61.7485,79.68,86,100,9.93
223,Iquitos,PE,2021-07-26 02:05:11,-3.7481,-73.2472,75.24,94,75,2.3
224,Gibara,CU,2021-07-26 02:05:11,21.1097,-76.1317,72.72,91,97,9.17
225,Sivaki,RU,2021-07-26 02:05:11,52.6333,126.75,72.52,73,21,1.72
226,Lorengau,PG,2021-07-26 02:00:42,-2.0226,147.2712,85.26,65,35,5.93
227,Arraial Do Cabo,BR,2021-07-26 01:58:14,-22.9661,-42.0278,69.8,77,0,25.99
228,Mehamn,NO,2021-07-26 02:00:32,71.0357,27.8492,44.74,81,100,13.76
229,Berlevag,NO,2021-07-26 02:05:12,70.8578,29.0864,45.25,82,100,16.89
230,Hays,US,2021-07-26 02:05:12,30.0502,-98.0336,87.93,58,2,8.61
231,Nome,US,2021-07-26 01:59:10,64.5011,-165.4064,50.16,92,100,9.4
232,San Patricio,US,2021-07-26 02:01:05,28.017,-97.5169,84.29,73,3,9.64
233,Hofn,IS,2021-07-26 02:01:15,64.2539,-15.2082,51.3,89,20,11.65
234,Vanavara,RU,2021-07-26 02:05:13,60.34,102.2797,78.24,40,81,5.37
235,Matara,LK,2021-07-26 01:59:04,5.9485,80.5353,79.59,86,87,10.92
236,Mersin,TR,2021-07-26 02:02:06,36.862,34.6509,78.15,73,0,4.18
237,Petropavlovsk-Kamchatskiy,RU,2021-07-26 02:05:14,53.0452,158.6483,75.79,61,0,6.71
238,Tibati,CM,2021-07-26 02:05:14,6.4667,12.6333,66.02,98,100,2.1
239,Tuatapere,NZ,2021-07-26 01:58:29,-46.1333,167.6833,48.81,93,100,0.45
240,Nikolskoye,RU,2021-07-26 02:05:11,59.7035,30.7861,63.81,62,89,4.34
241,Stillwater,US,2021-07-26 02:05:15,36.1156,-97.0584,89.89,69,1,8.05
242,Luderitz,NA,2021-07-26 01:58:16,-26.6481,15.1594,65.26,27,82,10.42
243,Morant Bay,JM,2021-07-26 02:05:15,17.8815,-76.4093,76.66,85,58,4.88
244,Kargasok,RU,2021-07-26 02:05:15,59.0556,80.8572,68.77,79,100,6.67
245,Bandarbeyla,SO,2021-07-26 01:59:32,9.4942,50.8122,76.57,79,80,23.89
246,Viking,CA,2021-07-26 02:05:16,53.1001,-111.7684,72.3,42,96,4.18
247,Saint-Joseph,RE,2021-07-26 01:59:27,-21.3667,55.6167,64.76,70,29,11.68
248,Pueblo Nuevo,MX,2021-07-26 02:05:16,23.3833,-105.3833,56.46,93,97,5.95
249,East London,ZA,2021-07-26 02:05:17,-33.0153,27.9116,58.69,26,32,6.51
250,Iqaluit,CA,2021-07-26 01:59:56,63.7506,-68.5145,49.73,81,75,5.99
251,Wloszczowa,PL,2021-07-26 02:05:17,50.8526,19.9659,65.66,81,73,7.85
252,Longyearbyen,SJ,2021-07-26 01:59:07,78.2186,15.6401,44.44,81,75,6.91
253,Bethel,US,2021-07-26 02:03:55,41.3712,-73.414,74.68,90,0,2.46
254,Constitucion,CL,2021-07-26 01:53:54,-35.3333,-72.4167,50.56,93,100,9.8
255,Ritterhude,DE,2021-07-26 02:05:18,53.1811,8.7216,64.27,94,0,2.3
256,Batemans Bay,AU,2021-07-26 01:58:38,-35.7167,150.1833,63.91,45,61,11.05
257,Tamandare,BR,2021-07-26 02:05:18,-8.7597,-35.1047,73.72,88,25,9.89
258,Kalmunai,LK,2021-07-26 02:05:19,7.4167,81.8167,81.55,75,100,3.76
259,Tabuk,PH,2021-07-26 02:05:19,17.4189,121.4443,82.51,73,100,3.2
260,Viedma,AR,2021-07-26 02:05:19,-40.8135,-62.9967,47.32,53,100,9.4
261,Waipawa,NZ,2021-07-26 02:05:20,-41.4122,175.5153,53.46,83,98,13.91
262,Marawi,PH,2021-07-26 02:00:32,7.9986,124.2928,82.65,55,87,5.01
263,Ikeda,JP,2021-07-26 02:01:24,34.8221,135.4298,89.4,66,40,4.61
264,Newbridge,GB,2021-07-26 02:05:20,55.9333,-3.4,61.99,92,90,3.44
265,Wexford,IE,2021-07-26 02:05:21,52.3342,-6.4575,64.58,90,6,5.95
266,Clinton,US,2021-07-26 02:05:21,42.587,-82.9199,81.05,64,75,3.44
267,Marsa Matruh,EG,2021-07-26 01:58:43,31.3525,27.2453,77.2,69,0,11.5
268,Richards Bay,ZA,2021-07-26 01:59:34,-28.783,32.0377,54.68,86,0,6.96
269,Ust-Maya,RU,2021-07-26 02:05:22,60.4167,134.5333,74.89,48,1,8.52
270,Aconibe,GQ,2021-07-26 02:05:22,1.2968,10.9369,65.62,97,100,2.71
271,Pisco,PE,2021-07-26 01:58:49,-13.7,-76.2167,62.65,77,0,8.05
272,Tatarka,RU,2021-07-26 02:05:22,44.9589,41.9517,66.02,63,0,12.01
273,Aneho,TG,2021-07-26 02:05:23,6.2333,1.6,74.97,78,74,11.72
274,Vila Franca Do Campo,PT,2021-07-26 01:54:32,37.7167,-25.4333,68.41,86,57,7.52
275,Iskateley,RU,2021-07-26 02:02:08,67.6803,53.1512,43.56,86,87,16.31
276,Kampot,KH,2021-07-26 02:05:24,10.6167,104.1833,84.25,72,66,9.91
277,Bonfim,BR,2021-07-26 02:05:24,3.0833,-59.95,74.3,92,100,3.89
278,Camocim,BR,2021-07-26 02:05:24,-2.9022,-40.8411,74.32,83,4,8.23
279,Anadyr,RU,2021-07-26 02:01:16,64.75,177.4833,55.9,87,40,13.0
280,Aripuana,BR,2021-07-26 02:05:25,-9.1667,-60.6333,76.1,52,5,1.3
281,Wangaratta,AU,2021-07-26 02:05:25,-36.3667,146.3333,53.8,94,90,11.5
282,Najran,SA,2021-07-26 02:00:50,17.4924,44.1277,80.82,51,97,5.48
283,Byron Bay,AU,2021-07-26 02:05:26,-28.65,153.6167,69.06,33,34,0.92
284,Sibiti,CG,2021-07-26 02:05:26,-3.6819,13.3499,64.85,85,9,0.98
285,Auki,SB,2021-07-26 02:05:26,-8.7676,160.7034,83.41,70,82,3.09
286,Sciacca,IT,2021-07-26 02:05:27,37.5082,13.0881,80.65,43,0,6.82
287,Mokhsogollokh,RU,2021-07-26 02:05:27,61.4681,128.9203,77.72,38,0,6.24
288,Port Keats,AU,2021-07-26 02:05:27,-14.25,129.55,86.41,40,100,7.78
289,Gander,CA,2021-07-26 02:05:28,48.9682,-54.5906,53.33,96,0,5.12
290,Morondava,MG,2021-07-26 02:05:28,-20.2833,44.2833,68.38,57,90,13.18
291,Ilfracombe,GB,2021-07-26 02:05:28,51.2093,-4.1134,60.55,96,2,1.99
292,Lompoc,US,2021-07-26 01:57:04,34.6391,-120.4579,77.77,82,90,3.0
293,Beloha,MG,2021-07-26 02:05:29,-25.1667,45.05,59.0,77,1,10.74
294,Hit,IQ,2021-07-26 02:00:39,33.6416,42.8251,93.74,20,0,10.31
295,Ahuimanu,US,2021-07-26 02:05:29,21.4447,-157.8378,87.51,67,75,11.5
296,Hami,CN,2021-07-26 01:55:18,42.8,93.45,90.48,15,6,10.04
