,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
65,San Andres,CO,2021-08-04 00:43:05,12.5847,-81.7006,77.02,94,90,4.61
66,Tadine,NC,2021-08-04 00:43:06,-21.55,167.8833,71.64,61,100,4.43
67,Klimovo,RU,2021-08-04 00:43:06,52.3805,32.1923,60.4,69,100,3.49
68,Bud,US,2021-08-04 00:43:07,39.447,-86.1758,78.78,70,58,5.23
69,Kodiak,US,2021-08-04 00:36:36,57.79,-152.4072,58.51,77,90,8.05
70,Emba,KZ,2021-08-04 00:43:07,48.8264,58.1442,78.98,24,10,2.51
71,Druskininkai,LT,2021-08-04 00:43:07,54.0167,23.9667,54.25,94,77,3.09
72,Novokayakent,RU,2021-08-04 00:43:08,42.3937,47.9861,75.25,41,6,5.93
73,Biltine,TD,2021-08-04 00:43:08,14.5333,20.9167,76.87,72,100,11.14
74,Klaksvik,FO,2021-08-04 00:37:00,62.2266,-6.589,50.92,89,100,5.68
75,Tuktoyaktuk,CA,2021-08-04 00:34:15,69.4541,-133.0374,55.4,54,20,6.91
76,New Norfolk,AU,2021-08-04 00:35:33,-42.7826,147.0587,52.92,81,90,1.99
77,Mataura,NZ,2021-08-04 00:35:36,-46.1927,168.8643,44.47,62,100,4.14
78,Zhigansk,RU,2021-08-04 00:43:09,66.7697,123.3711,68.16,41,0,11.95
79,Majene,ID,2021-08-04 00:43:09,-3.5403,118.9707,80.31,77,100,10.47
80,Sivas,TR,2021-08-04 00:43:10,39.7916,37.0019,57.83,100,0,2.3
81,Mogadishu,SO,2021-08-04 00:39:26,2.0371,45.3438,76.3,86,95,15.66
82,Kindersley,CA,2021-08-04 00:42:17,51.4668,-109.1682,89.38,33,40,14.97
83,Khatanga,RU,2021-08-04 00:35:37,71.9667,102.5,73.58,50,100,12.26
84,Goya,AR,2021-08-04 00:43:10,-29.14,-59.2626,50.41,73,1,5.5
85,Baykit,RU,2021-08-04 00:43:11,61.67,96.37,68.92,70,92,3.31
86,Pozo Colorado,PY,2021-08-04 00:43:11,-23.4923,-58.7972,58.62,39,100,6.06
87,Sitka,US,2021-08-04 00:37:26,57.0531,-135.33,64.29,77,75,9.22
88,Saint-Augustin,CA,2021-08-04 00:35:56,51.226,-58.6502,59.88,86,100,19.62
89,Rikitea,PF,2021-08-04 00:35:41,-23.1203,-134.9692,70.11,61,61,16.71
90,Touros,BR,2021-08-04 00:36:54,-5.1989,-35.4608,74.3,80,100,17.18
91,Pipar,IN,2021-08-04 00:43:12,26.3856,73.5378,79.66,81,99,12.26
92,Hobart,AU,2021-08-04 00:31:46,-42.8794,147.3294,53.26,77,75,1.01
93,Vardo,NO,2021-08-04 00:36:44,70.3705,31.1107,46.27,96,100,35.81
94,Itaituba,BR,2021-08-04 00:43:13,-4.2761,-55.9836,79.97,60,100,1.48
95,Ust-Ishim,RU,2021-08-04 00:43:13,57.6935,71.1665,57.15,93,100,4.07
96,Norman Wells,CA,2021-08-04 00:37:23,65.282,-126.8329,53.64,87,90,0.0
97,Aklavik,CA,2021-08-04 00:42:19,68.2191,-135.0107,65.12,37,0,5.57
98,Vostok,RU,2021-08-04 00:37:57,46.4856,135.8833,74.35,87,100,3.65
99,Leningradskiy,RU,2021-08-04 00:36:13,69.3833,178.4167,39.09,99,100,3.96
100,Najran,SA,2021-08-04 00:37:33,17.4924,44.1277,84.85,56,72,8.25
101,Santa Cruz De Tenerife,ES,2021-08-04 00:38:38,28.4682,-16.2546,72.72,83,75,4.0
102,Bardiyah,LY,2021-08-04 00:43:14,31.7561,25.0865,81.9,72,0,11.72
103,Honningsvag,NO,2021-08-04 00:43:15,70.9821,25.9704,47.43,80,100,14.29
104,Longyearbyen,SJ,2021-08-04 00:35:46,78.2186,15.6401,46.24,66,75,14.97
105,Clonakilty,IE,2021-08-04 00:43:15,51.6231,-8.8706,58.21,89,69,4.43
106,Khasan,RU,2021-08-04 00:43:16,42.4308,130.6434,79.5,75,61,4.43
107,Paamiut,GL,2021-08-04 00:36:52,61.994,-49.6678,45.48,94,100,4.76
108,Namatanai,PG,2021-08-04 00:36:42,-3.6667,152.4333,85.35,67,2,3.36
109,Vanavara,RU,2021-08-04 00:43:16,60.34,102.2797,69.75,56,10,3.98
110,Faya,SA,2021-08-04 00:38:04,18.3851,42.4509,64.51,70,10,5.97
111,Cullera,ES,2021-08-04 00:43:17,39.1667,-0.25,77.95,77,100,4.0
112,Pisco,PE,2021-08-04 00:36:22,-13.7,-76.2167,62.65,82,75,10.36
113,Mitu,CO,2021-08-04 00:43:17,1.1983,-70.1733,69.85,97,95,1.5
114,Toora-Khem,RU,2021-08-04 00:38:12,52.4675,96.11,63.97,62,59,2.01
115,Oparino,RU,2021-08-04 00:43:18,59.8518,48.2783,57.76,97,34,4.27
116,Price,US,2021-08-04 00:43:18,39.5994,-110.8107,87.06,20,1,13.8
117,Sioux Lookout,CA,2021-08-04 00:43:18,50.1001,-91.917,82.78,65,90,3.44
118,Airai,TL,2021-08-04 00:38:00,-8.9266,125.4092,71.08,40,100,4.72
119,Biryusinsk,RU,2021-08-04 00:43:19,55.9634,97.8235,66.78,79,10,1.5
120,Kununurra,AU,2021-08-04 00:35:55,-15.7667,128.7333,78.78,22,97,16.11
121,Half Moon Bay,US,2021-08-04 00:43:20,37.4636,-122.4286,94.32,67,20,10.36
122,Wanning,CN,2021-08-04 00:36:30,18.8003,110.3967,83.91,74,100,2.89
123,Middelburg,ZA,2021-08-04 00:43:20,-25.7751,29.4648,45.79,63,0,3.2
124,Nanortalik,GL,2021-08-04 00:35:36,60.1432,-45.2371,44.15,97,100,7.4
125,Calvia,ES,2021-08-04 00:38:36,39.5657,2.5062,71.96,79,100,6.26
126,Francisco Sa,BR,2021-08-04 00:43:21,-16.4758,-43.4883,68.14,57,26,8.48
127,Lompoc,US,2021-08-04 00:36:52,34.6391,-120.4579,84.34,73,1,16.11
128,Ponta Do Sol,PT,2021-08-04 00:37:55,32.6667,-17.1,72.01,77,12,6.11
129,Butaritari,KI,2021-08-04 00:35:46,3.0707,172.7902,83.37,71,100,12.37
130,Pak Chong,TH,2021-08-04 00:43:22,14.708,101.4161,81.68,81,87,10.58
131,Namibe,AO,2021-08-04 00:43:22,-15.1961,12.1522,65.19,77,0,7.87
132,Jaciara,BR,2021-08-04 00:43:22,-15.9653,-54.9683,72.68,35,6,4.34
133,Kyshtovka,RU,2021-08-04 00:43:23,56.555,76.6271,58.33,96,87,7.43
134,Bereda,ES,2021-08-04 00:43:23,43.2686,-7.5406,63.14,100,100,3.62
135,Saldanha,ZA,2021-08-04 00:36:07,-33.0117,17.9442,46.45,92,2,7.0
136,Tasiilaq,GL,2021-08-04 00:35:32,65.6145,-37.6368,46.56,83,100,2.33
137,Lieksa,FI,2021-08-04 00:43:24,63.3167,30.0167,52.14,82,100,20.6
138,Male,MV,2021-08-04 00:43:24,4.1748,73.5089,82.35,83,75,3.44
139,Kenai,US,2021-08-04 00:43:24,60.5544,-151.2583,66.02,81,75,16.11
140,Sudbury,CA,2021-08-04 00:43:25,46.49,-80.99,67.06,95,100,2.46
141,Kaitangata,NZ,2021-08-04 00:35:58,-46.2817,169.8464,49.93,62,63,7.78
142,Saint George,US,2021-08-04 00:35:33,37.1041,-113.5841,104.59,13,1,3.0
143,Saint-Philippe,RE,2021-08-04 00:35:40,-21.3585,55.7679,65.79,87,94,15.77
144,Severo-Kurilsk,RU,2021-08-04 00:35:31,50.6789,156.125,54.14,69,100,18.03
145,Acarau,BR,2021-08-04 00:43:26,-2.8856,-40.12,77.23,81,52,7.29
146,Lavrentiya,RU,2021-08-04 00:38:22,65.5833,-171.0,47.46,96,100,5.73
147,Franklin,US,2021-08-04 00:43:26,39.9667,-83.0166,77.79,52,20,8.05
148,Boddam,GB,2021-08-04 00:43:26,57.4667,-1.7833,57.58,85,64,12.12
149,Cubulco,GT,2021-08-04 00:43:27,15.1333,-90.5833,72.41,93,100,2.48
150,Kundiawa,PG,2021-08-04 00:43:27,-6.0167,144.9667,75.63,62,13,1.3
151,Kovvur,IN,2021-08-04 00:43:27,17.0167,81.7333,82.65,83,75,6.91
152,Byron Bay,AU,2021-08-04 00:43:28,-28.65,153.6167,64.35,32,0,10.6
153,Kyenjojo,UG,2021-08-04 00:43:28,0.6328,30.6214,60.55,83,54,0.58
154,Fayaoue,NC,2021-08-04 00:43:29,-20.65,166.5333,70.21,69,3,5.99
155,Gat,IL,2021-08-04 00:37:38,31.61,34.7642,85.41,40,0,5.48
156,Progreso,MX,2021-08-04 00:43:29,21.2833,-89.6667,77.11,79,5,16.13
157,Saint-Georges,GD,2021-08-04 00:41:13,12.0564,-61.7485,80.28,83,20,5.75
158,North Bend,US,2021-08-04 00:38:05,43.4065,-124.2243,78.24,86,1,24.16
159,Asau,RO,2021-08-04 00:33:12,46.4333,26.4,61.39,97,21,2.57
160,Vao,NC,2021-08-04 00:35:53,-22.6667,167.4833,68.86,70,0,6.42
161,Malakal,SS,2021-08-04 00:37:54,9.5334,31.6605,71.71,90,100,1.52
162,Broome,US,2021-08-04 00:38:21,42.2506,-75.833,65.08,90,35,2.01
163,Husavik,IS,2021-08-04 00:36:32,66.0449,-17.3389,51.71,85,89,1.61
164,Beberibe,BR,2021-08-04 00:39:29,-4.1797,-38.1306,80.64,81,62,12.35
165,Vila,PT,2021-08-04 00:36:28,42.0304,-8.1588,59.74,92,100,3.2
166,Nikolskoye,RU,2021-08-04 00:35:37,59.7035,30.7861,54.01,95,23,5.17
167,Sur,OM,2021-08-04 00:36:04,22.5667,59.5289,86.38,62,5,5.95
168,Kampong Thum,KH,2021-08-04 00:43:31,12.7111,104.8887,82.18,73,100,2.04
169,Chepo,PA,2021-08-04 00:43:31,9.1667,-79.1,78.01,91,100,1.3
170,Mattru,SL,2021-08-04 00:43:32,7.6244,-11.8332,71.85,89,79,1.72
171,Port Hardy,CA,2021-08-04 00:43:32,50.6996,-127.4199,73.58,60,75,6.91
172,Lingyuan,CN,2021-08-04 00:43:32,41.24,119.4011,69.85,95,100,5.79
173,Sarkand,KZ,2021-08-04 00:36:05,45.41,79.9186,80.02,23,100,3.65
174,Yichun,CN,2021-08-04 00:39:08,47.7,128.9,73.63,61,23,9.69
175,Belle Glade,US,2021-08-04 00:43:33,26.6845,-80.6676,73.42,84,100,7.34
176,Tura,IN,2021-08-04 00:35:54,25.5198,90.2201,75.74,95,100,3.62
177,Tokmak,UA,2021-08-04 00:43:34,47.2514,35.7058,66.24,68,100,7.2
178,Koslan,RU,2021-08-04 00:36:50,63.4564,48.8989,55.18,96,100,4.43
179,Deskati,GR,2021-08-04 00:43:34,39.9225,21.8028,72.32,28,0,4.03
180,Port Lincoln,AU,2021-08-04 00:36:11,-34.7333,135.8667,57.76,69,11,15.5
181,Zeya,RU,2021-08-04 00:42:15,53.75,127.2667,68.05,63,100,2.53
182,Yashalta,RU,2021-08-04 00:43:35,46.3395,42.2762,75.76,62,53,8.55
183,Jiangkou,CN,2021-08-04 00:43:35,25.4872,119.1986,84.09,94,100,4.63
184,Mantua,IT,2021-08-04 00:36:03,45.1667,10.7833,72.64,82,100,1.52
185,Smithers,CA,2021-08-04 00:43:36,54.7804,-127.1743,75.52,46,75,5.75
186,Kapaa,US,2021-08-04 00:36:21,22.0752,-159.319,84.18,76,90,5.99
187,Hirara,JP,2021-08-04 00:37:43,24.8,125.2833,84.47,89,75,3.44
188,Hami,CN,2021-08-04 00:39:09,42.8,93.45,84.29,15,29,4.9
189,Fortuna,US,2021-08-04 00:34:44,40.5982,-124.1573,64.85,81,20,4.0
190,Likasi,CD,2021-08-04 00:43:36,-10.9814,26.7333,56.53,50,0,5.26
191,Tiksi,RU,2021-08-04 00:35:39,71.6872,128.8694,44.6,75,100,9.19
192,Nioro,GM,2021-08-04 00:43:37,13.35,-15.75,76.39,93,100,5.7
193,Gopalganj,IN,2021-08-04 00:43:37,26.4667,84.4333,82.08,84,100,7.54
194,Bodrum,TR,2021-08-04 00:43:38,37.0383,27.4292,87.28,46,0,9.91
195,Mercedes,AR,2021-08-04 00:43:38,-34.6515,-59.4307,53.85,61,5,4.85
196,Puerto Ayora,EC,2021-08-04 00:35:57,-0.7393,-90.3518,69.22,82,88,7.38
197,Rincon,US,2021-08-04 00:41:22,32.296,-81.2354,79.86,92,90,6.91
198,Arraial Do Cabo,BR,2021-08-04 00:35:34,-22.9661,-42.0278,68.31,73,68,13.58
199,Kailua,US,2021-08-04 00:43:39,21.4022,-157.7394,89.58,61,20,12.66
200,Chokurdakh,RU,2021-08-04 00:35:33,70.6333,147.9167,54.79,35,15,10.89
201,Linqing,CN,2021-08-04 00:43:39,36.8456,115.7117,80.46,79,100,7.87
202,Cairns,AU,2021-08-04 00:36:53,-16.9167,145.7667,81.95,67,3,8.05
203,Florence,IT,2021-08-04 00:43:40,43.7667,11.25,71.55,76,0,3.44
204,Kamaishi,JP,2021-08-04 00:35:57,39.2667,141.8833,83.35,72,100,4.29
205,Kavaratti,IN,2021-08-04 00:43:40,10.5669,72.642,81.95,76,100,15.73
206,Luwuk,ID,2021-08-04 00:43:41,-0.9516,122.7875,78.93,87,100,11.21
207,Narsaq,GL,2021-08-04 00:36:18,60.9167,-46.05,46.62,96,100,2.64
208,Alyangula,AU,2021-08-04 00:43:41,-13.8483,136.4192,78.67,57,76,12.66
209,Souillac,MU,2021-08-04 00:35:44,-20.5167,57.5167,70.18,73,20,8.05
210,Kharagpur,IN,2021-08-04 00:43:42,22.3333,87.3333,80.58,87,100,7.99
211,Westport,US,2021-08-04 00:43:42,41.1415,-73.3579,73.98,80,1,0.0
212,Panzhihua,CN,2021-08-04 00:43:42,26.5851,101.7128,74.64,75,0,0.94
213,Pudozh,RU,2021-08-04 00:43:43,61.8099,36.5345,54.88,79,100,12.1
214,Okha,RU,2021-08-04 00:43:43,53.5739,142.9478,54.48,91,100,14.18
215,Cabo San Lucas,MX,2021-08-04 00:32:16,22.8909,-109.9124,94.51,68,75,7.0
216,Porto Santo,PT,2021-08-04 00:43:43,33.072,-16.3415,71.31,68,40,16.11
217,Ust-Tsilma,RU,2021-08-04 00:41:18,65.441,52.1498,61.84,95,98,4.27
218,Anshun,CN,2021-08-04 00:39:10,26.25,105.9333,73.54,73,0,4.43
219,Vila Velha,BR,2021-08-04 00:33:10,-20.3297,-40.2925,69.75,83,40,3.44
220,Yumen,CN,2021-08-04 00:43:44,40.2833,97.2,75.9,14,9,10.87
221,Sesori,SV,2021-08-04 00:43:45,13.7167,-88.3667,83.21,99,100,5.7
222,Iqaluit,CA,2021-08-04 00:37:06,63.7506,-68.5145,44.33,87,75,17.0
223,Saurimo,AO,2021-08-04 00:43:45,-9.6608,20.3916,59.88,42,1,4.88
224,Yar-Sale,RU,2021-08-04 00:38:03,66.8333,70.8333,60.13,80,86,9.8
225,Broken Hill,AU,2021-08-04 00:43:46,-31.95,141.4333,49.71,76,0,12.66
226,Mujiayingzi,CN,2021-08-04 00:43:46,42.1167,118.7833,74.07,68,11,8.84
227,Harper,LR,2021-08-04 00:37:50,4.375,-7.7169,75.78,83,99,6.8
228,Bilibino,RU,2021-08-04 00:38:35,68.0546,166.4372,35.85,98,100,5.97
229,Port Elizabeth,ZA,2021-08-04 00:32:09,-33.918,25.5701,59.29,77,0,12.66
230,Mariental,NA,2021-08-04 00:43:47,-24.6333,17.9667,57.87,35,5,1.41
231,Banda Aceh,ID,2021-08-04 00:43:47,5.5577,95.3222,81.99,73,100,13.67
232,Port Alfred,ZA,2021-08-04 00:35:48,-33.5906,26.891,64.26,39,0,10.4
233,Miramar,US,2021-08-04 00:43:48,25.9873,-80.2323,77.0,96,90,5.75
234,Bougouni,ML,2021-08-04 00:43:48,11.417,-7.479,74.03,88,100,3.4
235,Udala,ES,2021-08-04 00:43:49,43.0778,-2.5125,60.06,93,100,1.5
236,Port Moresby,PG,2021-08-04 00:39:34,-9.4431,147.1797,80.02,78,40,3.44
237,Esperance,AU,2021-08-04 00:36:03,-33.8667,121.9,51.64,73,81,5.03
238,Tacuarembo,UY,2021-08-04 00:43:49,-31.7333,-55.9833,48.43,86,100,3.94
239,Kahului,US,2021-08-04 00:36:24,20.8947,-156.47,86.02,70,40,25.32
240,Sao Filipe,CV,2021-08-04 00:33:53,14.8961,-24.4956,76.32,91,100,4.29
241,Richards Bay,ZA,2021-08-04 00:35:17,-28.783,32.0377,63.32,78,0,16.44
242,Siguiri,GN,2021-08-04 00:43:50,11.6667,-9.5,72.61,94,100,2.13
243,Henties Bay,NA,2021-08-04 00:36:13,-22.116,14.2845,58.86,77,0,5.68
244,Pangai,TO,2021-08-04 00:43:50,-19.8,-174.35,77.11,57,20,8.05
245,Sungairaya,ID,2021-08-04 00:43:51,0.7,108.9,83.12,77,51,3.78
246,Inhambane,MZ,2021-08-04 00:36:31,-23.865,35.3833,62.64,69,0,6.4
247,Mayo,US,2021-08-04 00:36:33,38.8876,-76.5119,75.94,76,1,3.0
248,Grindavik,IS,2021-08-04 00:35:43,63.8424,-22.4338,53.55,100,90,6.91
249,Nuuk,GL,2021-08-04 00:40:35,64.1835,-51.7216,52.41,76,75,18.41
250,Lasa,IT,2021-08-04 00:35:40,46.6166,10.7002,57.02,92,100,3.04
251,Atbasar,KZ,2021-08-04 00:43:52,51.8,68.3333,65.75,78,10,6.8
252,Tifton,US,2021-08-04 00:43:17,31.4505,-83.5085,76.89,95,90,0.0
253,Pundaguitan,PH,2021-08-04 00:43:52,6.3711,126.1689,83.64,71,100,5.28
254,Clyde River,CA,2021-08-04 00:37:16,70.4692,-68.5914,39.43,87,90,11.5
255,Nagod,IN,2021-08-04 00:43:53,24.5667,80.6,75.6,87,86,11.12
256,Fergus Falls,US,2021-08-04 00:43:53,46.283,-96.0776,83.12,56,1,3.0
257,Gramsh,AL,2021-08-04 00:43:54,40.8697,20.1844,77.36,39,0,2.93
258,Shyroke,UA,2021-08-04 00:43:54,47.6917,33.2571,60.04,52,73,5.19
259,Avera,US,2021-08-04 00:36:48,33.194,-82.5271,79.72,74,52,6.33
260,Anadyr,RU,2021-08-04 00:37:12,64.75,177.4833,48.7,81,75,32.99
261,Suez,EG,2021-08-04 00:43:55,29.9737,32.5263,80.87,43,0,6.69
262,Arlit,NE,2021-08-04 00:43:55,18.7369,7.3853,96.93,18,20,7.7
263,Faanui,PF,2021-08-04 00:36:07,-16.4833,-151.75,79.14,72,9,9.15
264,Kumluca,TR,2021-08-04 00:43:56,36.3703,30.2869,88.84,35,0,5.28
265,Altus,US,2021-08-04 00:43:56,34.6381,-99.334,87.66,28,1,9.22
266,Trelew,AR,2021-08-04 00:43:56,-43.249,-65.3051,51.04,39,100,12.97
267,Santa Rosa,PH,2021-08-04 00:43:57,14.3122,121.1114,88.09,74,100,12.28
268,Guerrero Negro,MX,2021-08-04 00:43:57,27.9769,-114.0611,77.67,65,5,16.8
269,Waingapu,ID,2021-08-04 00:43:57,-9.6567,120.2641,82.15,64,33,11.39
270,Isiro,CD,2021-08-04 00:43:58,2.7739,27.616,65.48,99,90,1.7
271,Monrovia,LR,2021-08-04 00:43:58,6.3005,-10.7969,74.97,79,2,5.79
272,Chernyshevskiy,RU,2021-08-04 00:36:21,63.0128,112.4714,72.54,39,37,11.21
273,Denpasar,ID,2021-08-04 00:39:46,-8.65,115.2167,82.06,83,40,16.11
274,Alugan,PH,2021-08-04 00:43:59,12.2188,125.4808,86.7,63,100,11.92
275,Ushirombo,TZ,2021-08-04 00:43:59,-3.4919,31.9639,71.87,41,100,4.09
276,Barrow,US,2021-08-04 00:35:33,71.2906,-156.7887,50.02,66,90,13.8
277,Kepno,PL,2021-08-04 00:44:00,51.2784,17.9891,57.34,87,100,5.57
278,Antsohihy,MG,2021-08-04 00:44:00,-14.8796,47.9875,66.99,69,67,5.46
279,Pontes E Lacerda,BR,2021-08-04 00:44:00,-15.2261,-59.3353,72.54,43,100,5.26
280,Ulaangom,MN,2021-08-04 00:40:45,49.9811,92.0667,70.81,40,6,5.95
281,Palimbang,PH,2021-08-04 00:44:01,6.2106,124.1894,85.51,63,100,2.08
282,Povenets,RU,2021-08-04 00:44:01,62.8487,34.8262,52.57,87,100,18.59
283,Hithadhoo,MV,2021-08-04 00:36:17,-0.6,73.0833,81.57,75,100,7.7
284,College,US,2021-08-04 00:39:41,64.8569,-147.8028,84.65,50,75,8.05
285,Kishtwar,IN,2021-08-04 00:44:02,33.3167,75.7667,67.19,84,3,2.71
286,Khani,GE,2021-08-04 00:44:02,41.9563,42.9566,65.77,64,1,4.23
287,Dhidhdhoo,MV,2021-08-04 00:44:02,6.8833,73.1,82.49,75,89,11.34
288,East London,ZA,2021-08-04 00:36:14,-33.0153,27.9116,66.34,25,0,7.45
289,Saint-Louis,SN,2021-08-04 00:44:03,16.3333,-15.0,82.04,75,15,14.05
290,Igarka,RU,2021-08-04 00:44:03,67.4667,86.5833,62.55,81,20,9.44
291,Kavieng,PG,2021-08-04 00:37:36,-2.5744,150.7967,84.85,69,23,5.12
292,Port Blair,IN,2021-08-04 00:35:43,11.6667,92.75,80.64,89,75,11.5
293,Naze,JP,2021-08-04 00:44:04,28.3667,129.4833,83.32,80,100,14.7
294,Ramacca,IT,2021-08-04 00:44:04,37.3881,14.6927,82.65,58,6,3.98
295,Hofn,IS,2021-08-04 00:36:08,64.2539,-15.2082,53.82,88,100,3.36
296,Dasuya,IN,2021-08-04 00:44:05,31.8183,75.6597,78.94,89,62,5.14
297,Mount Gambier,AU,2021-08-04 00:36:57,-37.8333,140.7667,51.71,93,75,11.5
298,Hambantota,LK,2021-08-04 00:38:35,6.1241,81.1185,79.14,94,0,12.66
